상품코드,거래처,엑셀원본폴더,원본상품번호,상품명,이미지수,상태,매칭폴더/메모
N260084,지니,실루엣 롱 원피스(핑크),실루엣_롱_원피스(핑크),핑크 코르셋 롱 슬립 원피스,4,매칭완료,지니/실루엣 롱 원피스(핑크)
N260085,지니,장미나시원피스 아이,장미나시원피스_아이,아이보리 입체 플라워 V넥 미디 원피스,4,매칭완료,지니/장미나시원피스 아이
N260086,지니,장미나시원피스 핑크,장미나시원피스_핑크,핑크 입체 플라워 V넥 미디 원피스,4,매칭완료,지니/장미나시원피스 핑크
N260087,지니,장미문향프릴원피스(검정),장미문향프릴원피스(검정),블랙 프릴 숄더 스팽글 미니 원피스,4,매칭완료,지니/장미문향프릴원피스(검정)
N260088,지니,장미문향프릴원피스(핑크),장미문향프릴원피스(핑크),핑크 프릴 숄더 스팽글 미니 원피스,4,매칭완료,지니/장미문향프릴원피스(핑크)
N260089,지니,핑크꽃무늬투피스,핑크꽃무늬투피스,핑크/아이보리 입체 플라워 시스루 크롭 블라우스,4,매칭완료,지니/핑크꽃무늬투피스
N260090,지니,핑크미디원피스,핑크미디원피스,핑크 입체적인 셔링 디테일과 핀턱이 몸매를 잡아주는 미디 원피스,4,매칭완료,지니/핑크미디원피스
N260091,지니,하늘꽃무늬투피스,하늘꽃무늬투피스,아이보리 입체 플라워 시스루 크롭 블라우스,4,매칭완료,지니/하늘꽃무늬투피스
N260092,지니,화이트미디원피스,화이트미디원피스,화이트 입체적인 셔링 디테일과 핀턱이 몸매를 잡아주는 미디 원피스,4,매칭완료,지니/화이트미디원피스
N260093,지니,횐색투피스,횐색투피스,화이트 셔링 크롭탑과 플레어 미니스커트의 조화,4,매칭완료,지니/횐색투피스
N260094,티아라,S409,S409,화이트 주얼장식 슬림 원피스,0,미매칭,ZIP 폴더 없음
N260095,티아라,S410,S410,블랙 주얼장식 원피스,0,미매칭,ZIP 폴더 없음
N260096,티아라,S411,S411,화이트 텍스처 튜브탑 원피스,0,미매칭,ZIP 폴더 없음
N260097,티아라,S412,S412,블랙 글리터 원피스,0,미매칭,ZIP 폴더 없음
N260098,티아라,S413,S413,블랙/화이트 트위드 홀터넥 A라인 원피스,0,미매칭,ZIP 폴더 없음
N260099,티아라,S414,S414,블루 페이즐리 프린트 나시 원피스,0,미매칭,ZIP 폴더 없음
N260100,티아라,S415,S415,아이보리 케이프 소매 A라인 원피스,0,미매칭,ZIP 폴더 없음
N260101,티아라,S416,S416,블랙 케이프 A라인 원피스,0,미매칭,ZIP 폴더 없음
N260102,티아라,S417,S417,화이트 레이스 A라인 원피스,0,미매칭,ZIP 폴더 없음
N260103,티아라,S418,S418,핑크 자카드 원피스,0,미매칭,ZIP 폴더 없음
N260104,티아라,S421 투피스,S421,화이트/블랙 원숄더 플리츠 투피스,0,미매칭,ZIP 폴더 없음
N260105,티아라,S422 투피스,S422,화이트 원숄더 플리츠 투피스,0,미매칭,ZIP 폴더 없음
N260106,티아라,S425번,S425,아이보리 체인 프린트 집업 원피스,0,미매칭,ZIP 폴더 없음
N260107,티아라,S426 투피스,S426,화이트 레이스 카라 투피스,0,미매칭,ZIP 폴더 없음
N260108,티아라,S427 투피스,S427,핑크 레이스 카라 투피스,0,미매칭,ZIP 폴더 없음
N260109,티아라,S428 투피스,S428,블랙 레이스 카라 투피스,0,미매칭,ZIP 폴더 없음
N260110,티아라,S429,S429,화이트/핑크/베이지 터틀넥 민소매 탑 3color,4,매칭완료,티아라/S429
N260111,티아라,S430,S430,화이트/블랙 카라 반소매 가디건 2color,4,매칭완료,티아라/S430
N260112,티아라,S431,S431,핑크/블랙 레이스 코르셋 탑 2color,4,매칭완료,티아라/S431
N260113,티아라,S432,S432,화이트/핑크/블랙 플라워 쉬폰 나시 탑 3color,4,매칭완료,티아라/S432
N260114,티아라,S433,S433,핑크/블랙 레이스 코르셋 뷔스티에 2color,4,매칭완료,티아라/S433
N260115,티아라,S437,S437,화이트/베이지 자수 장식 리브 탑 3color,4,매칭완료,티아라/S437
N260116,티아라,S438,S438,화이트/핑크 러플 롱슬리브 가디건 3color,4,매칭완료,티아라/S438
N260117,티아라,S439,S439,화이트/블루/베이지/블랙 스카프 넥타이 나시 탑 4color,4,매칭완료,티아라/S439
N260118,티아라,S440,S440,화이트/핑크 플라워 비즈 크롭 탑 2color,4,매칭완료,티아라/S440
